[2026-04-26 23:36:42,784][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:44:52,952][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 24/200
[2026-04-26 23:44:52,988][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 25/200
[2026-04-26 23:44:53,023][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 26/200
[2026-04-26 23:44:53,057][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 27/200
[2026-04-26 23:44:53,092][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 28/200
[2026-04-26 23:44:53,127][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 29/200
[2026-04-26 23:44:53,162][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 30/200
[2026-04-26 23:44:53,171][quality.model_adapters.onnx_adapter][INFO] - Reached codec EOS at step 30
[2026-04-26 23:44:53,171][quality.model_adapters.onnx_adapter][INFO] - Generated timesteps: 30
[2026-04-26 23:44:53,171][quality.model_adapters.onnx_adapter][INFO] - Running vocoder with codes shape=(1, 16, 30)
[2026-04-26 23:44:53,515][quality.model_adapters.onnx_adapter][INFO] - Vocoder waveform shape=(1, 1, 57600) dtype=float32
[2026-04-26 23:44:53,522][torchmetrics][INFO] - downloading https://raw.githubusercontent.com/microsoft/DNS-Challenge/master/DNSMOS/DNSMOS/model_v8.onnx to /Users/ruaoccj/.torchmetrics/DNSMOS/DNSMOS/model_v8.onnx
[2026-04-26 23:44:54,870][torchmetrics][INFO] - downloading https://raw.githubusercontent.com/microsoft/DNS-Challenge/master/DNSMOS/DNSMOS/sig_bak_ovr.onnx to /Users/ruaoccj/.torchmetrics/DNSMOS/DNSMOS/sig_bak_ovr.onnx
[2026-04-26 23:44:58,365][torchmetrics][INFO] - downloading https://raw.githubusercontent.com/microsoft/DNS-Challenge/master/DNSMOS/pDNSMOS/sig_bak_ovr.onnx to /Users/ruaoccj/.torchmetrics/DNSMOS/pDNSMOS/sig_bak_ovr.onnx
[2026-04-26 23:45:12,217][quality.model_adapters.onnx_adapter][INFO] - Prefill embedding built: inputs_embeds=(1, 9, 1024) trailing_text_hidden=(52, 1024)
[2026-04-26 23:45:12,217][quality.model_adapters.onnx_adapter][INFO] - Running talker_prefill
[2026-04-26 23:45:12,268][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 1/200
[2026-04-26 23:45:12,302][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 2/200
[2026-04-26 23:45:12,338][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 3/200
[2026-04-26 23:45:12,373][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 4/200
[2026-04-26 23:45:12,408][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 5/200
[2026-04-26 23:45:12,442][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 6/200
[2026-04-26 23:45:12,477][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 7/200
[2026-04-26 23:45:12,511][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 8/200
[2026-04-26 23:45:12,545][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 9/200
[2026-04-26 23:45:12,580][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 10/200
[2026-04-26 23:45:12,614][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 11/200
[2026-04-26 23:45:12,651][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 12/200
[2026-04-26 23:45:12,685][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 13/200
[2026-04-26 23:45:12,721][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 14/200
[2026-04-26 23:45:12,755][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 15/200
[2026-04-26 23:45:12,791][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 16/200
[2026-04-26 23:45:12,829][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 17/200
[2026-04-26 23:45:12,867][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 18/200
[2026-04-26 23:45:12,901][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 19/200
[2026-04-26 23:45:12,935][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 20/200
[2026-04-26 23:45:12,969][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 21/200
[2026-04-26 23:45:13,002][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 22/200
[2026-04-26 23:45:13,038][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 23/200
[2026-04-26 23:45:13,073][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 24/200
[2026-04-26 23:45:13,106][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 25/200
[2026-04-26 23:45:13,139][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 26/200
[2026-04-26 23:45:13,172][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 27/200
[2026-04-26 23:45:13,207][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 28/200
[2026-04-26 23:45:13,241][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 29/200
[2026-04-26 23:45:13,274][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 30/200
[2026-04-26 23:45:13,309][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 31/200
[2026-04-26 23:45:13,343][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 32/200
[2026-04-26 23:45:13,377][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 33/200
[2026-04-26 23:45:13,410][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 34/200
[2026-04-26 23:45:13,445][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 35/200
[2026-04-26 23:45:13,479][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 36/200
[2026-04-26 23:45:13,513][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 37/200
[2026-04-26 23:45:13,550][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 38/200
[2026-04-26 23:45:13,597][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 39/200
[2026-04-26 23:45:13,634][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 40/200
[2026-04-26 23:45:13,671][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 41/200
[2026-04-26 23:45:13,707][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 42/200
[2026-04-26 23:45:13,743][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 43/200
[2026-04-26 23:45:13,779][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 44/200
[2026-04-26 23:45:13,818][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 45/200
[2026-04-26 23:45:13,858][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 46/200
[2026-04-26 23:45:13,896][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 47/200
[2026-04-26 23:45:13,934][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 48/200
[2026-04-26 23:45:13,970][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 49/200
[2026-04-26 23:45:14,008][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 50/200
[2026-04-26 23:45:14,046][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 51/200
[2026-04-26 23:45:14,084][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 52/200
[2026-04-26 23:45:14,121][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 53/200
[2026-04-26 23:45:14,157][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 54/200
[2026-04-26 23:45:14,193][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 55/200
[2026-04-26 23:45:14,229][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 56/200
[2026-04-26 23:45:14,267][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 57/200
[2026-04-26 23:45:14,305][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 58/200
[2026-04-26 23:45:14,342][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 59/200
[2026-04-26 23:45:14,378][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 60/200
[2026-04-26 23:45:14,416][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 61/200
[2026-04-26 23:45:14,454][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 62/200
[2026-04-26 23:45:14,492][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 63/200
[2026-04-26 23:45:14,529][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 64/200
[2026-04-26 23:45:14,567][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 65/200
[2026-04-26 23:45:14,605][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 66/200
[2026-04-26 23:45:14,643][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 67/200
[2026-04-26 23:45:14,681][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 68/200
[2026-04-26 23:45:14,719][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 69/200
[2026-04-26 23:45:14,757][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 70/200
[2026-04-26 23:45:14,795][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 71/200
[2026-04-26 23:45:14,834][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 72/200
[2026-04-26 23:45:14,872][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 73/200
[2026-04-26 23:45:14,910][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 74/200
[2026-04-26 23:45:14,949][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 75/200
[2026-04-26 23:45:14,988][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 76/200
[2026-04-26 23:45:15,027][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 77/200
[2026-04-26 23:45:15,068][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 78/200
[2026-04-26 23:45:15,108][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 79/200
[2026-04-26 23:45:15,149][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 80/200
[2026-04-26 23:45:15,189][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 81/200
[2026-04-26 23:45:15,225][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 82/200
[2026-04-26 23:45:15,262][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 83/200
[2026-04-26 23:45:15,298][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 84/200
[2026-04-26 23:45:15,339][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 85/200
[2026-04-26 23:45:15,380][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 86/200
[2026-04-26 23:45:15,421][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 87/200
[2026-04-26 23:45:15,462][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 88/200
[2026-04-26 23:45:15,504][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 89/200
[2026-04-26 23:45:15,546][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 90/200
[2026-04-26 23:45:15,587][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 91/200
[2026-04-26 23:45:15,629][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 92/200
[2026-04-26 23:45:15,671][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 93/200
[2026-04-26 23:45:15,712][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 94/200
[2026-04-26 23:45:15,755][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 95/200
[2026-04-26 23:45:15,797][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 96/200
[2026-04-26 23:45:15,839][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 97/200
[2026-04-26 23:45:15,880][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 98/200
[2026-04-26 23:45:15,921][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 99/200
[2026-04-26 23:45:15,959][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 100/200
[2026-04-26 23:45:16,000][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 101/200
[2026-04-26 23:45:16,038][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 102/200
[2026-04-26 23:45:16,079][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 103/200
[2026-04-26 23:45:16,118][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 104/200
[2026-04-26 23:45:16,161][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 105/200
[2026-04-26 23:45:16,201][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 106/200
[2026-04-26 23:45:16,242][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 107/200
[2026-04-26 23:45:16,285][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 108/200
[2026-04-26 23:45:16,330][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 109/200
[2026-04-26 23:45:16,376][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 110/200
[2026-04-26 23:45:16,420][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 111/200
[2026-04-26 23:45:16,467][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 112/200
[2026-04-26 23:45:16,513][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 113/200
[2026-04-26 23:45:16,558][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 114/200
[2026-04-26 23:45:16,606][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 115/200
[2026-04-26 23:45:16,646][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 116/200
[2026-04-26 23:45:16,693][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 117/200
[2026-04-26 23:45:16,754][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 118/200
[2026-04-26 23:45:16,805][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 119/200
[2026-04-26 23:45:16,851][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 120/200
[2026-04-26 23:45:16,901][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 121/200
[2026-04-26 23:45:16,944][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 122/200
[2026-04-26 23:45:16,988][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 123/200
[2026-04-26 23:45:17,038][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 124/200
[2026-04-26 23:45:17,151][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 125/200
[2026-04-26 23:45:17,193][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 126/200
[2026-04-26 23:45:17,239][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 127/200
[2026-04-26 23:45:17,285][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 128/200
[2026-04-26 23:45:17,331][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 129/200
[2026-04-26 23:45:17,374][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 130/200
[2026-04-26 23:45:17,421][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 131/200
[2026-04-26 23:45:17,469][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 132/200
[2026-04-26 23:45:17,518][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 133/200
[2026-04-26 23:45:17,563][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 134/200
[2026-04-26 23:45:17,609][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 135/200
[2026-04-26 23:45:17,669][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 136/200
[2026-04-26 23:45:17,712][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 137/200
[2026-04-26 23:45:17,755][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 138/200
[2026-04-26 23:45:17,816][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 139/200
[2026-04-26 23:45:17,860][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 140/200
[2026-04-26 23:45:17,903][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 141/200
[2026-04-26 23:45:17,946][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 142/200
[2026-04-26 23:45:18,006][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 143/200
[2026-04-26 23:45:18,109][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 144/200
[2026-04-26 23:45:18,218][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 145/200
[2026-04-26 23:45:18,368][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 146/200
[2026-04-26 23:45:18,437][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 147/200
[2026-04-26 23:45:18,503][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 148/200
[2026-04-26 23:45:18,575][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 149/200
[2026-04-26 23:45:18,624][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 150/200
[2026-04-26 23:45:18,677][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 151/200
[2026-04-26 23:45:18,737][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 152/200
[2026-04-26 23:45:18,781][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 153/200
[2026-04-26 23:45:18,826][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 154/200
[2026-04-26 23:45:18,874][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 155/200
[2026-04-26 23:45:18,919][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 156/200
[2026-04-26 23:45:18,965][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 157/200
[2026-04-26 23:45:19,014][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 158/200
[2026-04-26 23:45:19,060][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 159/200
[2026-04-26 23:45:19,125][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 160/200
[2026-04-26 23:45:19,174][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 161/200
[2026-04-26 23:45:19,219][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 162/200
[2026-04-26 23:45:19,268][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 163/200
[2026-04-26 23:45:19,317][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 164/200
[2026-04-26 23:45:19,361][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 165/200
[2026-04-26 23:45:19,410][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 166/200
[2026-04-26 23:45:19,472][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 167/200
[2026-04-26 23:45:19,520][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 168/200
[2026-04-26 23:45:19,567][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 169/200
[2026-04-26 23:45:19,613][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 170/200
[2026-04-26 23:45:19,663][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 171/200
[2026-04-26 23:45:19,707][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 172/200
[2026-04-26 23:45:19,755][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 173/200
[2026-04-26 23:45:19,804][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 174/200
[2026-04-26 23:45:19,853][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 175/200
[2026-04-26 23:45:19,903][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 176/200
[2026-04-26 23:45:19,956][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 177/200
[2026-04-26 23:45:20,003][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 178/200
[2026-04-26 23:45:20,048][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 179/200
[2026-04-26 23:45:20,093][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 180/200
[2026-04-26 23:45:20,135][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 181/200
